match_id,giornata,season,date_str,home_team,home_team_code,away_team,away_team_code,home_score,away_score,status,difficolta_home,difficolta_away
2026_G17_MON_MIL,17,2026/2027,Sun Jan 3 2027 15:00,Monza,MON,Milan,MIL,,,SCHEDULED,3,1
2026_G17_INT_VER,17,2026/2027,Sun Jan 3 2027 15:00,Inter,INT,Verona,VER,,,SCHEDULED,1,3
2026_G17_BOL_JUV,17,2026/2027,Sun Jan 3 2027 15:00,Bologna,BOL,Juventus,JUV,,,SCHEDULED,3,2
2026_G17_FIO_LAZ,17,2026/2027,Sun Jan 3 2027 15:00,Fiorentina,FIO,Lazio,LAZ,,,SCHEDULED,2,2
2026_G18_EMP_BOL,18,2026/2027,Wed Jan 6 15:00,Empoli,EMP,Bologna,BOL,,,SCHEDULED,2,1
2026_G18_VER_UDI,18,2026/2027,Wed Jan 6 15:00,Verona,VER,Udinese,UDI,,,SCHEDULED,1,1
2026_G18_GEN_MON,18,2026/2027,Wed Jan 6 15:00,Genoa,GEN,Monza,MON,,,SCHEDULED,1,1
2026_G18_VEN_ROM,18,2026/2027,Wed Jan 6 15:00,Venezia,VEN,Roma,ROM,,,SCHEDULED,2,1
2026_G18_NAP_CAG,18,2026/2027,Wed Jan 6 15:00,Napoli,NAP,Cagliari,CAG,,,SCHEDULED,1,3
2026_G18_MIL_FIO,18,2026/2027,Wed Jan 6 15:00,Milan,MIL,Fiorentina,FIO,,,SCHEDULED,2,3
2026_G18_JUV_TOR,18,2026/2027,Wed Jan 6 15:00,Juventus,JUV,Torino,TOR,,,SCHEDULED,2,3
2026_G18_ATA_COM,18,2026/2027,Wed Jan 6 15:00,Atalanta,ATA,Como,COM,,,SCHEDULED,1,3
2026_G18_LAZ_INT,18,2026/2027,Wed Jan 6 15:00,Lazio,LAZ,Inter,INT,,,SCHEDULED,3,2
2026_G18_LEC_PAR,18,2026/2027,Wed Jan 6 15:00,Lecce,LEC,Parma,PAR,,,SCHEDULED,1,1
2026_G19_FIO_LEC,19,2026/2027,Sun Jan 10 15:00,Fiorentina,FIO,Lecce,LEC,,,SCHEDULED,1,2
2026_G19_UDI_NAP,19,2026/2027,Sun Jan 10 15:00,Udinese,UDI,Napoli,NAP,,,SCHEDULED,3,1
2026_G19_TOR_ATA,19,2026/2027,Sun Jan 10 15:00,Torino,TOR,Atalanta,ATA,,,SCHEDULED,3,2
2026_G19_MON_EMP,19,2026/2027,Sun Jan 10 15:00,Monza,MON,Empoli,EMP,,,SCHEDULED,1,1
2026_G19_INT_JUV,19,2026/2027,Sun Jan 10 15:00,Inter,INT,Juventus,JUV,,,SCHEDULED,3,3
2026_G19_PAR_VEN,19,2026/2027,Sun Jan 10 15:00,Parma,PAR,Venezia,VEN,,,SCHEDULED,1,1
2026_G19_BOL_GEN,19,2026/2027,Sun Jan 10 15:00,Bologna,BOL,Genoa,GEN,,,SCHEDULED,1,2
2026_G19_CAG_VER,19,2026/2027,Sun Jan 10 15:00,Cagliari,CAG,Verona,VER,,,SCHEDULED,1,1
2026_G19_COM_LAZ,19,2026/2027,Sun Jan 10 15:00,Como,COM,Lazio,LAZ,,,SCHEDULED,2,1
2026_G19_ROM_MIL,19,2026/2027,Sun Jan 10 15:00,Roma,ROM,Milan,MIL,,,SCHEDULED,3,2
2026_G20_MIL_TOR,20,2026/2027,Sun Jan 17 15:00,Milan,MIL,Torino,TOR,,,SCHEDULED,2,3
2026_G20_PAR_INT,20,2026/2027,Sun Jan 17 15:00,Parma,PAR,Inter,INT,,,SCHEDULED,3,1
2026_G20_JUV_GEN,20,2026/2027,Sun Jan 17 15:00,Juventus,JUV,Genoa,GEN,,,SCHEDULED,1,3
2026_G20_LEC_UDI,20,2026/2027,Sun Jan 17 15:00,Lecce,LEC,Udinese,UDI,,,SCHEDULED,1,1
2026_G20_CAG_COM,20,2026/2027,Sun Jan 17 15:00,Cagliari,CAG,Como,COM,,,SCHEDULED,1,1
2026_G20_VER_MON,20,2026/2027,Sun Jan 17 15:00,Verona,VER,Monza,MON,,,SCHEDULED,1,1
2026_G20_NAP_FIO,20,2026/2027,Sun Jan 17 15:00,Napoli,NAP,Fiorentina,FIO,,,SCHEDULED,2,3
2026_G20_LAZ_BOL,20,2026/2027,Sun Jan 17 15:00,Lazio,LAZ,Bologna,BOL,,,SCHEDULED,2,2
2026_G20_VEN_EMP,20,2026/2027,Sun Jan 17 15:00,Venezia,VEN,Empoli,EMP,,,SCHEDULED,1,1
2026_G20_ATA_ROM,20,2026/2027,Sun Jan 17 15:00,Atalanta,ATA,Roma,ROM,,,SCHEDULED,2,3
2026_G21_LEC_TOR,21,2026/2027,Sun Jan 24 15:00,Lecce,LEC,Torino,TOR,,,SCHEDULED,2,1
2026_G21_JUV_CAG,21,2026/2027,Sun Jan 24 15:00,Juventus,JUV,Cagliari,CAG,,,SCHEDULED,1,3
2026_G21_INT_VEN,21,2026/2027,Sun Jan 24 15:00,Inter,INT,Venezia,VEN,,,SCHEDULED,1,3
2026_G21_FIO_VER,21,2026/2027,Sun Jan 24 15:00,Fiorentina,FIO,Verona,VER,,,SCHEDULED,1,2
2026_G21_EMP_MIL,21,2026/2027,Sun Jan 24 15:00,Empoli,EMP,Milan,MIL,,,SCHEDULED,3,1
2026_G21_ROM_UDI,21,2026/2027,Sun Jan 24 15:00,Roma,ROM,Udinese,UDI,,,SCHEDULED,1,2
2026_G21_BOL_ATA,21,2026/2027,Sun Jan 24 15:00,Bologna,BOL,Atalanta,ATA,,,SCHEDULED,3,2
